Delivery_person_Age,Delivery_person_Ratings,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,delivery_time_mins,weather_clean,distance_km,order_hour,pickup_hour,pickup_delay_minutes
34,4.5,Jam,2,Snack,scooter,1,No,Metropolitian,33,Stormy,20.18,19,19,5
23,4.4,Low,0,Drinks,motorcycle,1,No,Urban,26,Sandstorms,1.55,8,8,15
32,4.0,Jam,0,Buffet,motorcycle,1,No,Metropolitian,47,Windy,13.97,21,21,15
26,4.9,Low,2,Buffet,scooter,0,No,Metropolitian,11,Stormy,3.11,8,8,15
22,4.8,Low,1,Snack,motorcycle,1,No,Metropolitian,28,Fog,10.87,23,23,10
27,4.9,Medium,1,Drinks,scooter,1,No,Metropolitian,25,Windy,9.32,19,19,15
31,4.8,Low,2,Drinks,scooter,1,No,Metropolitian,23,Stormy,17.08,22,22,10
39,4.6,Jam,1,Drinks,scooter,2,No,Metropolitian,44,Fog,13.97,20,21,10
27,4.7,Jam,2,Snack,scooter,1,No,Metropolitian,42,Cloudy,17.08,21,21,15
24,5.0,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,Fog,1.55,10,10,5
27,4.6,Jam,0,Buffet,motorcycle,1,No,Metropolitian,29,Sandstorms,13.97,21,21,15
31,4.8,Low,1,Snack,scooter,0,No,Metropolitian,24,Sandstorms,7.76,22,22,10
27,4.6,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,Sunny,12.42,23,23,5
21,4.9,Medium,0,Drinks,motorcycle,2,No,Metropolitian,36,Windy,13.97,17,18,15
20,4.6,Jam,0,Buffet,motorcycle,0,Yes,Metropolitian,44,Fog,13.97,20,20,15
26,4.8,Jam,0,Snack,motorcycle,1,No,Metropolitian,23,Sandstorms,9.32,19,19,5
36,4.8,Medium,0,Snack,motorcycle,1,No,Metropolitian,43,Fog,10.87,17,18,15
32,4.1,Medium,0,Buffet,motorcycle,1,No,Metropolitian,33,Sandstorms,10.87,18,18,15
39,4.4,Medium,0,Meal,motorcycle,1,No,Metropolitian,33,Sunny,20.18,18,18,5
34,4.7,Medium,1,Snack,motorcycle,1,No,Metropolitian,30,Windy,6.21,16,16,15
33,4.7,Medium,2,Buffet,electric_scooter,1,No,Urban,15,Fog,7.76,18,18,15
27,4.9,Low,2,Drinks,scooter,0,No,Metropolitian,20,Fog,12.42,23,23,15
26,4.8,Jam,0,Snack,motorcycle,1,No,Metropolitian,43,Cloudy,12.42,19,19,10
29,4.5,Medium,0,Snack,motorcycle,0,No,Metropolitian,15,Sunny,4.66,18,18,5
38,4.1,High,0,Buffet,motorcycle,1,Yes,Metropolitian,41,Stormy,1.55,11,11,5
20,4.5,Jam,2,Buffet,motorcycle,1,No,Metropolitian,27,Windy,10.87,20,20,10
29,4.5,Low,1,Snack,scooter,0,No,Urban,13,Windy,12.42,22,22,15
